Log file created at: 2024/07/03 06:16:27
Running on machine: ip-172-31-39-243
Binary: Built with gc go1.22.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0703 06:16:27.594663    9858 out.go:291] Setting OutFile to fd 1 ...
I0703 06:16:27.594858    9858 out.go:338] TERM=xterm,COLORTERM=, which probably does not support color
I0703 06:16:27.594862    9858 out.go:304] Setting ErrFile to fd 2...
I0703 06:16:27.594866    9858 out.go:338] TERM=xterm,COLORTERM=, which probably does not support color
I0703 06:16:27.595106    9858 root.go:338] Updating PATH: /root/.minikube/bin
W0703 06:16:27.595204    9858 root.go:314] Error reading config file at /root/.minikube/config/config.json: open /root/.minikube/config/config.json: no such file or directory
I0703 06:16:27.595751    9858 out.go:298] Setting JSON to false
I0703 06:16:27.596654    9858 start.go:129] hostinfo: {"hostname":"ip-172-31-39-243","uptime":4752,"bootTime":1719982635,"procs":158,"os":"linux","platform":"ubuntu","platformFamily":"debian","platformVersion":"24.04","kernelVersion":"6.8.0-1008-aws","kernelArch":"x86_64","virtualizationSystem":"","virtualizationRole":"","hostId":"ec222eb9-91f9-cef6-43ca-b8514ddaaed9"}
I0703 06:16:27.596709    9858 start.go:139] virtualization:  
I0703 06:16:27.598903    9858 out.go:177] * minikube v1.33.1 on Ubuntu 24.04
W0703 06:16:27.601641    9858 preload.go:294] Failed to list preload files: open /root/.minikube/cache/preloaded-tarball: no such file or directory
I0703 06:16:27.601743    9858 notify.go:220] Checking for updates...
I0703 06:16:27.602229    9858 driver.go:392] Setting default libvirt URI to qemu:///system
I0703 06:16:27.602253    9858 global.go:112] Querying for installed drivers using PATH=/root/.minikube/bin:/root/.npm-global/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
I0703 06:16:27.602374    9858 global.go:133] virtualbox default: true priority: 6, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:unable to find VBoxManage in $PATH Reason: Fix:Install VirtualBox Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/virtualbox/ Version:}
I0703 06:16:27.602571    9858 global.go:133] vmware default: false priority: 5, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "vmrun": executable file not found in $PATH Reason: Fix:Install vmrun Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/vmware/ Version:}
I0703 06:16:27.652865    9858 docker.go:122] docker version: linux-27.0.3:Docker Engine - Community
I0703 06:16:27.653185    9858 cli_runner.go:164] Run: docker system info --format "{{json .}}"
